timestamp,location,wait_time
2025-01-11 17:00:00,carrillo,280
2025-01-11 17:00:00,de-la-guerra,0
2025-01-11 17:00:00,portola,0
2025-01-11 17:00:20,carrillo,0
2025-01-11 17:00:20,de-la-guerra,0
2025-01-11 17:00:20,portola,100
2025-01-11 17:00:40,carrillo,80
2025-01-11 17:00:40,de-la-guerra,240
2025-01-11 17:00:40,portola,0
2025-01-11 17:01:00,carrillo,340
2025-01-11 17:01:00,de-la-guerra,0
2025-01-11 17:01:00,portola,0
2025-01-11 17:01:20,carrillo,0
2025-01-11 17:01:20,de-la-guerra,100
2025-01-11 17:01:20,portola,40
2025-01-11 17:01:40,carrillo,0
2025-01-11 17:01:40,de-la-guerra,0
2025-01-11 17:01:40,portola,0
2025-01-11 17:02:00,carrillo,0
2025-01-11 17:02:00,de-la-guerra,0
2025-01-11 17:02:00,portola,0
2025-01-11 17:02:20,carrillo,440
2025-01-11 17:02:20,de-la-guerra,0
2025-01-11 17:02:20,portola,0
2025-01-11 17:02:40,carrillo,320
2025-01-11 17:02:40,de-la-guerra,20
2025-01-11 17:02:40,portola,0
2025-01-11 17:03:00,carrillo,60
2025-01-11 17:03:00,de-la-guerra,0
2025-01-11 17:03:00,portola,0
2025-01-11 17:03:20,carrillo,80
2025-01-11 17:03:20,de-la-guerra,0
2025-01-11 17:03:20,portola,0
2025-01-11 17:03:40,carrillo,180
2025-01-11 17:03:40,de-la-guerra,40
2025-01-11 17:03:40,portola,0